model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-1.3564849853515628,-0.6662659962971998,2.2748281955718994,0.463245153427124,9.774927854537964,6
DirectTabular,-1.5496766408284504,-0.5920631408691399,0.0508732795715332,0.032816171646118164,0.2343142032623291,3
WeightedEnsemble,-1.6381758635071506,-0.5231179979112403,0.4707510471343994,0.06088900566101074,0.17199999996228144,8
Toto2,-1.7421624501546222,-0.5801225026448561,0.4178760051727295,0.028072834014892578,0.4265608787536621,7
ETS,-1.818146900888009,-0.7230618902875392,3.3408608436584473,3.688603401184082,0.007250785827636719,4
Theta,-2.018276596069336,-0.9571174621582029,3.2540881633758545,3.2256863117218018,0.0071260929107666016,5
SeasonalNaive,-2.2000000000000006,-0.8666666666666648,2.7973921298980713,3.051386833190918,0.007930278778076172,1
RecursiveTabular,-3.703581873575846,-3.3333337148030595,0.029055118560791016,0.025536775588989258,0.25655436515808105,2
