model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-4.862826182047525,-6.124608154296875,0.0385587215423584,0.028335094451904297,0.33278965950012207,3
ETS,-4.909576981774009,-6.078124093028021,0.03574109077453613,3.2737748622894287,0.006133079528808594,4
Chronos2,-5.128201955159504,-6.318867594401041,1.2941405773162842,0.04801774024963379,1.083263635635376,6
Toto2,-5.36847447713216,-6.0798859151204425,0.49219703674316406,0.01139378547668457,0.4048495292663574,7
WeightedEnsemble,-5.408395284016926,-5.599114532470703,1.8843352794647217,3.223220109939575,0.1720000000204891,8
Theta,-6.036412709554035,-5.775333201090494,0.5892565250396729,3.1752023696899414,0.006290435791015625,5
RecursiveTabular,-7.57071548461914,-7.2489391072591145,0.025069236755371094,0.022017478942871094,0.33096933364868164,2
SeasonalNaive,-7.826666666666668,-7.236666666666667,2.659268856048584,2.67901349067688,0.006272792816162109,1
