origin,hedef_ay,y_true,T0_tahmin,T0_mutlak_hata,T1_tahmin,T1_mutlak_hata,T1_eksi_T0_hata,T1_T0dan_iyi,T2_tahmin,T2_mutlak_hata,T2_eksi_T0_hata,T2_T0dan_iyi,T3_tahmin,T3_mutlak_hata,T3_eksi_T0_hata,T3_T0dan_iyi
2024-04-01,2024-07-01,-1.3844522349381303,0.5534082055091858,1.937860440447316,1.4130655527114868,2.797517787649617,0.859657347202301,False,1.4130655527114868,2.797517787649617,0.859657347202301,False,1.4130655527114868,2.797517787649617,0.859657347202301,False
2024-05-01,2024-08-01,-0.8024187595238806,5.254271984100342,6.056690743624222,-3.245960235595703,2.4435414760718226,-3.6131492675523997,True,-3.245960235595703,2.4435414760718226,-3.6131492675523997,True,-3.245960235595703,2.4435414760718226,-3.6131492675523997,True
2024-06-01,2024-09-01,20.685966189053858,11.315532684326172,9.370433504727686,4.555294036865234,16.130672152188623,6.7602386474609375,False,4.555294036865234,16.130672152188623,6.7602386474609375,False,4.555294036865234,16.130672152188623,6.7602386474609375,False
2024-07-01,2024-10-01,17.08234144025041,44.80522155761719,27.722880117366778,2.7433841228485107,14.3389573174019,-13.383922799964878,True,2.7433841228485107,14.3389573174019,-13.383922799964878,True,2.7433841228485107,14.3389573174019,-13.383922799964878,True
2024-08-01,2024-11-01,16.413579595458174,15.138273239135742,1.2753063563224316,26.026456832885742,9.612877237427568,8.337570881105137,False,26.026456832885742,9.612877237427568,8.337570881105137,False,26.026456832885742,9.612877237427568,8.337570881105137,False
2024-09-01,2024-12-01,4.669708411962132,4.024588584899902,0.6451198270622296,-4.40459680557251,9.074305217534642,8.429185390472412,False,-4.40459680557251,9.074305217534642,8.429185390472412,False,-4.40459680557251,9.074305217534642,8.429185390472412,False
2024-10-01,2025-01-01,-5.136694267373928,-0.7703970074653625,4.366297259908565,0.8065392374992371,5.943233504873165,1.5769362449645996,False,0.8065392374992371,5.943233504873165,1.5769362449645996,False,0.8065392374992371,5.943233504873165,1.5769362449645996,False
2024-11-01,2025-02-01,-12.040738564332296,-17.24098777770996,5.200249213377665,-0.03361978754401207,12.007118776788284,6.806869563410618,False,-0.03361978754401207,12.007118776788284,6.806869563410618,False,-0.03361978754401207,12.007118776788284,6.806869563410618,False
2024-12-01,2025-03-01,-19.8439275880849,-10.75140380859375,9.092523779491149,-0.1560177505016327,19.687909837583266,10.595386058092117,False,-0.1560177505016327,19.687909837583266,10.595386058092117,False,-0.1560177505016327,19.687909837583266,10.595386058092117,False
2025-01-01,2025-04-01,-7.560802892465666,2.670864582061768,10.231667474527434,-0.26355528831481934,7.297247604150846,-2.934419870376588,True,-0.26355528831481934,7.297247604150846,-2.934419870376588,True,-0.26355528831481934,7.297247604150846,-2.934419870376588,True
2025-02-01,2025-05-01,5.528626487670866,22.884063720703125,17.35543723303226,21.87887191772461,16.350245430053743,-1.0051918029785156,True,21.87887191772461,16.350245430053743,-1.0051918029785156,True,21.87887191772461,16.350245430053743,-1.0051918029785156,True
2025-03-01,2025-06-01,12.821982748855913,17.70728874206543,4.885305993209517,5.661532402038574,7.160450346817338,2.2751443536078213,False,5.661532402038574,7.160450346817338,2.2751443536078213,False,5.661532402038574,7.160450346817338,2.2751443536078213,False
