ay,gercek,model_tahmin,baseline_gecen_yil_ayni_ay,onceki_bilinen_gercek,en_iyi_model
2025-12,556455.0193548388,432094.125,439009.2064516129,420157.56,DirectTabular
2026-01,430062.0,437714.9375,375450.6774193549,556455.0193548388,DirectTabular
2026-03,423751.2258064516,422935.9826125469,381402.60967741936,423569.5178571429,WeightedEnsemble
2026-04,448055.2,437538.5695366608,494095.9666666667,423751.2258064516,WeightedEnsemble
2026-05,386217.9548387097,436249.3860733562,433255.9483870968,448055.2,WeightedEnsemble
2026-06,511126.56,427441.53125,418015.36,386217.9548387097,Toto2
