kol,rejim,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK,SELECT,2020-06-01,WeightedEnsemble,2020-07-01,-6.925663201609406,1.917405015794088
T0,SOK,SELECT,2020-06-01,sifir,2020-07-01,-6.925663201609406,0.0
T0,SOK,SELECT,2020-06-01,naive,2020-07-01,-6.925663201609406,70.59594255098482
T0,SOK,SELECT,2020-06-01,mevsimsel_naive,2020-07-01,-6.925663201609406,25.626596932305613
T0,SOK,SELECT,2020-06-01,son12_ortalama,2020-07-01,-6.925663201609406,5.494673490456042
T0,SOK,SELECT,2020-07-01,SeasonalNaive,2020-08-01,-20.22095299059261,-15.104299200425844
T0,SOK,SELECT,2020-07-01,RecursiveTabular,2020-08-01,-20.22095299059261,-17.75910758972168
T0,SOK,SELECT,2020-07-01,DirectTabular,2020-08-01,-20.22095299059261,-0.5391477942466736
T0,SOK,SELECT,2020-07-01,ETS,2020-08-01,-20.22095299059261,1.582576074740409
T0,SOK,SELECT,2020-07-01,Theta,2020-08-01,-20.22095299059261,6.096525192260742
T0,SOK,SELECT,2020-07-01,Chronos2,2020-08-01,-20.22095299059261,1.2782670259475708
T0,SOK,SELECT,2020-07-01,Toto2,2020-08-01,-20.22095299059261,-2.0716609954833984
T0,SOK,SELECT,2020-07-01,WeightedEnsemble,2020-08-01,-20.22095299059261,-0.5391477942466736
T0,SOK,SELECT,2020-07-01,sifir,2020-08-01,-20.22095299059261,0.0
T0,SOK,SELECT,2020-07-01,naive,2020-08-01,-20.22095299059261,-6.925663201609406
T0,SOK,SELECT,2020-07-01,mevsimsel_naive,2020-08-01,-20.22095299059261,-15.104299200425844
T0,SOK,SELECT,2020-07-01,son12_ortalama,2020-08-01,-20.22095299059261,2.7819851459631235
T0,SOK,SELECT,2020-08-01,SeasonalNaive,2020-09-01,9.408234654401094,27.775313505407656
T0,SOK,SELECT,2020-08-01,RecursiveTabular,2020-09-01,9.408234654401094,32.45137405395508
T0,SOK,SELECT,2020-08-01,DirectTabular,2020-09-01,9.408234654401094,1.9168661832809448
T0,SOK,SELECT,2020-08-01,ETS,2020-09-01,9.408234654401094,0.9153508685989188
T0,SOK,SELECT,2020-08-01,Theta,2020-09-01,9.408234654401094,3.0145957469940186
T0,SOK,SELECT,2020-08-01,Chronos2,2020-09-01,9.408234654401094,0.4121624231338501
T0,SOK,SELECT,2020-08-01,Toto2,2020-09-01,9.408234654401094,0.9133608937263489
T0,SOK,SELECT,2020-08-01,WeightedEnsemble,2020-09-01,9.408234654401094,27.775313505407656
T0,SOK,SELECT,2020-08-01,sifir,2020-09-01,9.408234654401094,0.0
T0,SOK,SELECT,2020-08-01,naive,2020-09-01,9.408234654401094,-20.22095299059261
T0,SOK,SELECT,2020-08-01,mevsimsel_naive,2020-09-01,9.408234654401094,27.775313505407656
T0,SOK,SELECT,2020-08-01,son12_ortalama,2020-09-01,9.408234654401094,2.355597330115893
T0,SOK,SELECT,2020-09-01,SeasonalNaive,2020-10-01,-10.335965571611636,13.95616299850194
T0,SOK,SELECT,2020-09-01,RecursiveTabular,2020-10-01,-10.335965571611636,15.966090202331543
T0,SOK,SELECT,2020-09-01,DirectTabular,2020-10-01,-10.335965571611636,1.5871038436889648
T0,SOK,SELECT,2020-09-01,ETS,2020-10-01,-10.335965571611636,1.1573698655926095
T0,SOK,SELECT,2020-09-01,Theta,2020-10-01,-10.335965571611636,4.009187698364258
