rejim,karsilastirma,n,paired_win,paired_tie,candidate_MAE,reference_MAE,reference_eksi_candidate_MAE,net_hata_kazanci,en_buyuk_2_kazanc_cikarilinca_net_fark
SOK,T1_best_vs_sifir,35,19,0,23.508077005083127,24.71296516716688,1.2048881620837542,42.1710856729314,18.56532986696216
SOK,T1_best_vs_naive,35,20,0,23.508077005083127,33.52228033626532,10.014203331182193,350.49711659137677,205.04054086592475
SOK,T1_best_vs_ayni_model_T0,35,21,0,23.508077005083127,26.294893768815008,2.7868167637318804,97.53858673061582,69.72162067379209
NORMAL,T1_best_vs_sifir,29,15,0,11.397417534960354,11.593743360976008,0.19632582601565562,5.693448954454013,-21.17058474458163
NORMAL,T1_best_vs_naive,29,21,0,11.397417534960354,19.95409591876717,8.556678383806817,248.1436731303977,168.2267666008621
NORMAL,T1_best_vs_ayni_model_T0,29,14,0,11.397417534960354,11.596404515374253,0.1989869804139006,5.770622432003117,-22.21387746953001
TUM,T1_best_vs_sifir,64,34,0,18.020434432683746,18.768317786236643,0.747883353552897,47.86453462738541,19.63728357452895
TUM,T1_best_vs_naive,64,41,0,18.020434432683746,27.37419677208647,9.353762339402726,598.6407897217745,453.1842139963225
TUM,T1_best_vs_ayni_model_T0,64,35,0,18.020434432683746,19.634640825849665,1.6142063931659207,103.30920916261893,72.9595032280944
