rejim,karsilastirma,n,paired_win,paired_tie,candidate_MAE,reference_MAE,reference_eksi_candidate_MAE,net_hata_kazanci,en_buyuk_2_kazanc_cikarilinca_net_fark
SOK_2020_04_2022_12,ABLASYON_T1_CHRONOS2_vs_T0_CHRONOS2,33,25,0,26.225376493993245,35.584770667862685,9.35939417386944,308.8600077376915,233.4760889754844
SOK_2020_04_2022_12,IS_ESIGI_T1_CHRONOS2_vs_SIFIR,33,18,0,26.225376493993245,26.954012851846468,0.7286363578532234,24.044999809156373,-8.603410034288444
SOK_2020_04_2022_12,KONTROL_T1_CHRONOS2_vs_TOTO2,33,19,0,26.225376493993245,31.789560475388313,5.5641839813950655,183.61807138603717,114.8880913941243
NORMAL_2023_01_2025_03,ABLASYON_T1_CHRONOS2_vs_T0_CHRONOS2,27,17,0,12.003967207625694,13.352032224178105,1.3480650165524064,36.39775544691497,5.386764350418392
NORMAL_2023_01_2025_03,IS_ESIGI_T1_CHRONOS2_vs_SIFIR,27,14,0,12.003967207625694,11.612481939739675,-0.3914852678860211,-10.57010223292257,-37.61537219904805
NORMAL_2023_01_2025_03,KONTROL_T1_CHRONOS2_vs_TOTO2,27,14,0,12.003967207625694,10.819176335172338,-1.184790872453358,-31.989353556240665,-61.8940996118437
TUM,ABLASYON_T1_CHRONOS2_vs_T0_CHRONOS2,60,42,0,19.825742315127844,25.58003836820462,5.754296053076773,345.2577631846064,269.8738444223994
TUM,IS_ESIGI_T1_CHRONOS2_vs_SIFIR,60,32,0,19.825742315127844,20.05032394139841,0.22458162627056355,13.474897576233813,-20.163362311461498
TUM,KONTROL_T1_CHRONOS2_vs_TOTO2,60,33,0,19.825742315127844,22.35288761229112,2.5271452971632744,151.62871782979647,82.89873783788366
