kol,rejim,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK_2020_04_2022_12,2020-07-01,Chronos2,2020-10-01,-3.0025495759971608,17.50821876525879
T0,SOK_2020_04_2022_12,2020-07-01,Toto2,2020-10-01,-3.0025495759971608,16.5380802154541
T0,SOK_2020_04_2022_12,2020-07-01,WeightedEnsemble,2020-10-01,-3.0025495759971608,14.261648683547973
T0,SOK_2020_04_2022_12,2020-07-01,sifir,2020-10-01,-3.0025495759971608,0.0
T0,SOK_2020_04_2022_12,2020-07-01,son12_ortalama,2020-10-01,-3.0025495759971608,0.09200824985517642
T0,SOK_2020_04_2022_12,2020-08-01,SeasonalNaive,2020-11-01,-21.104097827845703,35.45477484579875
T0,SOK_2020_04_2022_12,2020-08-01,RecursiveTabular,2020-11-01,-21.104097827845703,58.56932067871094
T0,SOK_2020_04_2022_12,2020-08-01,DirectTabular,2020-11-01,-21.104097827845703,6.639796733856201
T0,SOK_2020_04_2022_12,2020-08-01,ETS,2020-11-01,-21.104097827845703,62.4960512944437
T0,SOK_2020_04_2022_12,2020-08-01,Theta,2020-11-01,-21.104097827845703,59.266815185546875
T0,SOK_2020_04_2022_12,2020-08-01,Chronos2,2020-11-01,-21.104097827845703,31.81500816345215
T0,SOK_2020_04_2022_12,2020-08-01,Toto2,2020-11-01,-21.104097827845703,16.472469329833984
T0,SOK_2020_04_2022_12,2020-08-01,WeightedEnsemble,2020-11-01,-21.104097827845703,58.56932067871094
T0,SOK_2020_04_2022_12,2020-08-01,sifir,2020-11-01,-21.104097827845703,0.0
T0,SOK_2020_04_2022_12,2020-08-01,son12_ortalama,2020-11-01,-21.104097827845703,5.789681458983165
T0,SOK_2020_04_2022_12,2020-09-01,SeasonalNaive,2020-12-01,-34.310592493298216,30.67981628914958
T0,SOK_2020_04_2022_12,2020-09-01,RecursiveTabular,2020-12-01,-34.310592493298216,54.496604919433594
T0,SOK_2020_04_2022_12,2020-09-01,DirectTabular,2020-12-01,-34.310592493298216,5.392592906951904
T0,SOK_2020_04_2022_12,2020-09-01,ETS,2020-12-01,-34.310592493298216,34.51125657650531
T0,SOK_2020_04_2022_12,2020-09-01,Theta,2020-12-01,-34.310592493298216,31.721965789794922
T0,SOK_2020_04_2022_12,2020-09-01,Chronos2,2020-12-01,-34.310592493298216,7.352210998535156
