model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Chronos2,-1.547100321451823,-0.6406108856201165,1.161931037902832,0.524585485458374,8.077241659164429,6
DirectTabular,-1.6009671529134113,-0.5754386901855462,0.0402677059173584,0.042301177978515625,0.2383592128753662,3
WeightedEnsemble,-1.65759302775065,-0.5288902282714822,0.463794469833374,0.07239103317260742,0.17199999996228144,8
Toto2,-1.7425318400065102,-0.5853836059570305,0.4220240116119385,0.030089855194091797,0.6012685298919678,7
ETS,-1.8176658935549834,-0.7210149840255037,3.1615750789642334,3.7099921703338623,0.00878000259399414,4
Theta,-2.024083836873372,-0.9985101064046221,3.21235990524292,3.2268025875091553,0.008157014846801758,5
SeasonalNaive,-2.2000000000000006,-0.8999999999999986,3.5101070404052734,3.408841609954834,0.008722543716430664,1
RecursiveTabular,-3.789511744181315,-3.4625,0.030549287796020508,0.025019407272338867,0.26902294158935547,2
