model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
Theta,-0.0018927588879462675,-0.010443144521563093,0.589073657989502,0.014634370803833008,0.007356405258178711,5
ETS,-0.0033969843504903243,-0.007061376418615176,0.04533267021179199,0.6492235660552979,0.007742404937744141,4
Chronos2,-0.0038412764068823067,-0.005758550993053953,1.0246591567993164,0.04901480674743652,0.9746694564819336,6
Toto2,-0.0049111263847729575,-0.006541544925619006,0.41423583030700684,0.014023303985595703,0.3993072509765625,7
RecursiveTabular,-0.0050056579902257045,-0.0012784647406387448,0.02555990219116211,0.024065256118774414,0.35689759254455566,2
WeightedEnsemble,-0.005242025532519298,-0.0002380047035136663,0.016414165496826172,0.013358592987060547,0.17099999997299165,8
SeasonalNaive,-0.005242025532519298,-0.0002380047035136663,0.015415191650390625,0.013358592987060547,0.005804300308227539,1
DirectTabular,-0.006115501562394799,-0.005886174471625527,0.03658866882324219,0.03255605697631836,0.3436453342437744,3
