,noter_devir_toplam_adet,noter_devir_otomobil_adet,odmd_toplam_adet,odmd_otomobil_adet,odmd_hta_adet,osd_binek_adet,osd_kamyonet_adet,osd_binek_kamyonet_toplam_adet,tufe_endeks,tufe_aylik_degisim,tuketici_guven_endeksi,otomobil_satinalma_ihtimali_endeksi,tasit_kredisi_faiz,politika_faizi,usdtry_aysonu_alis,usdtry_aysonu_satis,usdtry_aysonu,usdtry_ortalama_alis,usdtry_ortalama_satis,usdtry_ortalama,altin_gram_try,brut_ucret_maas_endeksi_2021_100,indicata_ilan_yayinlanan_adet,indicata_satisa_donen_adet,indicata_satis_ilan_orani_pct,indicata_ortalama_satis_hizi_gun,indicata_perakende_fiyat_aylik_pct,indicata_toptan_fiyat_aylik_pct,arabam_ortalama_ilan_fiyati_tl,arabam_reel_aylik_degisim_pct,betam_ortalama_ilan_fiyati_tl,betam_talep_aylik_pct,betam_satis_orani_pct,betam_dom_gun,otv_event_ay_mi,eurtry_ortalama,eurtry_aysonu,target_1ay_hiz,target_3ay_hiz
noter_devir_toplam_adet,1.0,0.9828651669355474,0.5986759296124297,0.5822476200907628,0.6168909554554284,0.21706048633342748,0.1561798244414667,0.21719389873617176,0.4537019674400099,0.11081777423539609,-0.06777188048206188,0.445196409690378,0.2845247264463654,0.23768834986973797,0.48620558273481823,0.48620519260778133,0.48620538749615627,0.48250306518307123,0.4825029911610801,0.48250302813878976,0.40416676465049534,0.4401040070867342,0.1546838250152031,0.5323705954276345,0.36651114462253487,,0.5464761019733428,,0.07680147432551665,0.1852840730943924,0.16120606000640617,0.3852188621236993,0.7692769641196954,-0.4051721838958371,-0.049738717506891586,0.47752192843788677,0.4815161126605322,0.4493204535378699,0.47612757328619715
noter_devir_otomobil_adet,0.9828651669355474,1.0,0.511894772612246,0.4969968326234423,0.5330904223408712,0.24117092823547878,0.1618827270949041,0.23729202623767043,0.36173966884641756,0.035139156937993646,-0.02288857197262663,0.3750373736866924,0.16897803038248732,0.16041274231300556,0.37661825151383216,0.37661789326682116,0.3766180722294296,0.3729296715365908,0.3729296051664737,0.372929638321684,0.3352649186045353,0.3609776817344043,0.24022623061460033,0.6018040610327942,0.34202101226901815,,0.5359248602086154,,0.11334920668164822,0.294975352083628,0.2110572644703157,0.3598780521962433,0.8235027704937902,-0.4817265991572822,-0.05832857084504763,0.3715775911003565,0.3760165089354581,0.4508776303744007,0.5461270759628326
odmd_toplam_adet,0.5986759296124297,0.511894772612246,1.0,0.9972246973529411,0.9635262531447035,0.21425092232592427,0.1920197144345604,0.2274759367964008,0.672249689390369,0.03826629712117078,0.11745798432123315,0.6734021942506416,0.6123443159221165,0.5106004081537469,0.7153031370008646,0.7153027981881198,0.7153029674426603,0.7123846960780253,0.7123846744473851,0.7123846852530071,0.6067343748984443,0.6562081121537783,0.2024074893241243,0.2927034499079788,0.08584020089041684,,-0.16206131516519048,,0.1586820277287476,0.41075690156415595,0.014851230514347034,0.06914959606906548,0.4065701946601754,-0.37667809464908464,-0.06889697767041485,0.7063509209061838,0.7103850668631916,0.18145425527079448,0.05417585896421291
odmd_otomobil_adet,0.5822476200907628,0.4969968326234423,0.9972246973529411,1.0,0.9409281462831065,0.22610540892765987,0.16619306891576974,0.2270091962545337,0.6805035877748554,0.027524850560703695,0.12182859571693284,0.6835861498851862,0.6235362159493922,0.5282768658119631,0.7200519037283551,0.7200515736059853,0.7200517385192822,0.7169428222623361,0.7169428117252233,0.716942816989075,0.6111302773974937,0.6673211331739329,0.2007810025304358,0.29570483900420663,0.09534521700455757,,-0.1973262085244928,,0.15921991534278945,0.4457800977088964,0.002400865766502737,0.043596978186359873,0.3925664634433804,-0.40409000308498777,-0.07927652992556095,0.7111360547253902,0.7152454512408212,0.16557854130964902,0.04513004655062012
odmd_hta_adet,0.6168909554554284,0.5330904223408712,0.9635262531447035,0.9409281462831065,1.0,0.18173482169452473,0.24281177001510962,0.22002939287921888,0.6173548768958264,0.10238676761142794,0.05228126764094912,0.6065776433272877,0.5266515955781728,0.4034388244948808,0.6634320363585045,0.6634316667669228,0.6634318513970048,0.6610074707767765,0.6610074178748445,0.6610074443020391,0.5627506797887926,0.5855771232551489,0.22302518940655294,0.2727937762600565,0.05026565985220919,,-0.05149372526443145,,0.18254112275010512,0.22431589561623538,0.08604386628195085,0.14659199494734246,0.44406343166996204,-0.36310923319523186,-0.01686836111198024,0.6562307024538303,0.6591920260456953,0.2032498866559725,0.08802714171578434
osd_binek_adet,0.21706048633342748,0.24117092823547878,0.21425092232592427,0.22610540892765987,0.18173482169452473,1.0,0.6062311072984007,0.9614360660661835,-0.12277571169011602,-0.12810342097779792,0.17881178430141817,-0.041414726447998346,-0.0028553401004142898,-0.017769581173078128,-0.12100168295541067,-0.12100159583790178,-0.12100163935755737,-0.11928670194196449,-0.11928673510970597,-0.1192867185407667,-0.14202521027182496,-0.08243209566146176,-0.1401332608590289,-0.11049809166136387,0.05011623348165633,,-0.05691126874046471,,-0.23075561294834068,-0.2230355335443174,-0.30896444452585786,0.19715826549020987,0.07288370954133604,-0.17819384599457114,0.1324499645162255,-0.12649002768668915,-0.12903521379211416,0.3236646659748265,0.18530834895411072
osd_kamyonet_adet,0.1561798244414667,0.1618827270949041,0.1920197144345604,0.16619306891576974,0.24281177001510962,0.6062311072984007,1.0,0.8015794839248056,-0.014798879688872852,0.11860222278135815,0.10727786201373588,0.03647212183473545,-0.07622898595001472,-0.11731491518219542,-0.02406907016474539,-0.02406914262583633,-0.02406910642792882,-0.02285683962829204,-0.022856952977067295,-0.02285689635368792,0.004926873464881102,-0.07458183000747932,0.12137184712084605,0.13817632074510655,0.03821335592159473,,0.021954617667951638,,0.5460481640355637,0.06669903244048925,0.46427980092693916,-0.08601997350609386,0.08091837162657353,-0.018774851144631746,0.05708540487014102,-0.01418303804586058,-0.016351565999145803,0.23823955467096908,0.08645741732059191
osd_binek_kamyonet_toplam_adet,0.21719389873617176,0.23729202623767043,0.2274759367964008,0.2270091962545337,0.22002939287921888,0.9614360660661835,0.8015794839248056,1.0,-0.09741906707559264,-0.05529129472641795,0.17152760028944836,-0.01852221279989076,-0.028508294972603813,-0.053929071220813134,-0.09929121270224418,-0.09929117226702533,-0.09929119246652765,-0.09758269449091278,-0.0975827586245535,-0.09758272658659822,-0.10499493988070388,-0.08732817091968419,-0.06748065411671601,-0.03818124757456491,0.05301444923418373,,-0.03674736569908393,,0.0033953968145046284,-0.14563879635544102,-0.0824745116372173,0.1232871067447229,0.08743865696670386,-0.1472757939469406,0.11931567688703489,-0.0999984727971929,-0.10266183807628494,0.32553668993810264,0.1700609882033391
tufe_endeks,0.4537019674400099,0.36173966884641756,0.672249689390369,0.6805035877748554,0.6173548768958264,-0.12277571169011602,-0.014798879688872852,-0.09741906707559264,1.0,0.13700677370549033,0.14406535594354564,0.9195770726502924,0.8390300575474031,0.8018679008465187,0.9826545451467131,0.9826546281854598,0.9826545867043845,0.9838731380173823,0.9838731530886452,0.9838731455598447,0.9699787650470616,0.9952854922881239,0.6975697138530933,0.5619104900790522,-0.1686077345590036,,0.3534129913624286,,0.9621315404736063,0.3843241008210277,0.9561735097238002,-0.14206916624139365,0.4380158137162214,-0.19207704945481371,-0.10364436454215398,0.9901665967265322,0.9890152454907513,-0.0061281934730974584,-0.035868257615089875
tufe_aylik_degisim,0.11081777423539609,0.035139156937993646,0.03826629712117078,0.027524850560703695,0.10238676761142794,-0.12810342097779792,0.11860222278135815,-0.05529129472641795,0.13700677370549033,1.0,-0.4530028590422666,-0.02754978527103972,0.193284321083173,0.03174617136162062,0.22783545838120012,0.2278355090704211,0.22783548374884,0.22978879636722338,0.22978870652010094,0.22978875140324237,0.11977288546271338,0.13886976853567742,-0.31577766072921043,-0.35693887423397574,0.003129841816230969,,-0.058030892426063414,,-0.37704928560226264,-0.6858035197992476,-0.2623010548954175,0.08052486504053027,-0.2627021624052528,0.24947403690733908,0.05384263677196172,0.2159816452148187,0.21274726205079655,-0.18977165604626708,-0.04451262416539704
tuketici_guven_endeksi,-0.06777188048206188,-0.02288857197262663,0.11745798432123315,0.12182859571693284,0.05228126764094912,0.17881178430141817,0.10727786201373588,0.17152760028944836,0.14406535594354564,-0.4530028590422666,1.0,0.4030559775239542,-0.004077528638189224,0.10222949890365154,0.040147020215028285,0.040146790667054795,0.04014690533775756,0.03840375316536782,0.03840383386271307,0.038403793550356224,0.1726742618740706,0.13458512378950954,0.25617756013317217,0.5367174811240868,0.3044334298256347,,0.21302276247644472,,0.8754374907179451,0.531154792434344,0.8135047707640848,-0.21493449814901136,0.3957781034517116,-0.22734168192880427,-0.08263143831635684,0.06826474415181759,0.07115103466414516,0.05564258170875137,-0.04725422397886086
