origin,model,hedef_ay,y_true,y_pred_q50
2024-04-01,SeasonalNaive,2024-07-01,-1.3844522349381303,-2.7520384522287724
2024-04-01,RecursiveTabular,2024-07-01,-1.3844522349381303,25.892887115478516
2024-04-01,DirectTabular,2024-07-01,-1.3844522349381303,0.5534082055091858
2024-04-01,ETS,2024-07-01,-1.3844522349381303,8.438257422762844
2024-04-01,Theta,2024-07-01,-1.3844522349381303,4.487876892089844
2024-04-01,Chronos2,2024-07-01,-1.3844522349381303,0.3535585105419159
2024-04-01,Toto2,2024-07-01,-1.3844522349381303,-1.113167643547058
2024-04-01,WeightedEnsemble,2024-07-01,-1.3844522349381303,-1.1885180255554129
2024-04-01,sifir,2024-07-01,-1.3844522349381303,0.0
2024-04-01,son12_ortalama,2024-07-01,-1.3844522349381303,-3.352317874065142
2024-05-01,SeasonalNaive,2024-08-01,-0.8024187595238806,-25.38770344207784
2024-05-01,RecursiveTabular,2024-08-01,-0.8024187595238806,-28.638404846191406
2024-05-01,DirectTabular,2024-08-01,-0.8024187595238806,5.254271984100342
2024-05-01,ETS,2024-08-01,-0.8024187595238806,1.7548729832183927
2024-05-01,Theta,2024-08-01,-0.8024187595238806,-2.1738317012786865
2024-05-01,Chronos2,2024-08-01,-0.8024187595238806,-1.4303009510040283
2024-05-01,Toto2,2024-08-01,-0.8024187595238806,4.035086631774902
2024-05-01,WeightedEnsemble,2024-08-01,-0.8024187595238806,-8.1160876178467
2024-05-01,sifir,2024-08-01,-0.8024187595238806,0.0
2024-05-01,son12_ortalama,2024-08-01,-0.8024187595238806,-4.38390270455297
2024-06-01,SeasonalNaive,2024-09-01,20.685966189053858,-24.761168053465592
2024-06-01,RecursiveTabular,2024-09-01,20.685966189053858,-47.91627502441406
2024-06-01,DirectTabular,2024-09-01,20.685966189053858,11.315532684326172
2024-06-01,ETS,2024-09-01,20.685966189053858,-8.973671471007059
2024-06-01,Theta,2024-09-01,20.685966189053858,-12.87244987487793
2024-06-01,Chronos2,2024-09-01,20.685966189053858,-5.0903754234313965
2024-06-01,Toto2,2024-09-01,20.685966189053858,4.268860816955566
2024-06-01,WeightedEnsemble,2024-09-01,20.685966189053858,-3.983368904359879
2024-06-01,sifir,2024-09-01,20.685966189053858,0.0
2024-06-01,son12_ortalama,2024-09-01,20.685966189053858,-5.822395874112203
2024-07-01,SeasonalNaive,2024-10-01,17.08234144025041,-24.937052677846825
2024-07-01,RecursiveTabular,2024-10-01,17.08234144025041,-6.845632553100586
2024-07-01,DirectTabular,2024-10-01,17.08234144025041,44.80522155761719
2024-07-01,ETS,2024-10-01,17.08234144025041,-1.3852111568617396
2024-07-01,Theta,2024-10-01,17.08234144025041,-5.430031776428223
2024-07-01,Chronos2,2024-10-01,17.08234144025041,3.3034462928771973
2024-07-01,Toto2,2024-10-01,17.08234144025041,14.213170051574707
2024-07-01,WeightedEnsemble,2024-10-01,17.08234144025041,26.264584281227805
2024-07-01,sifir,2024-10-01,17.08234144025041,0.0
2024-07-01,son12_ortalama,2024-10-01,17.08234144025041,-5.708430356004648
2024-08-01,SeasonalNaive,2024-11-01,16.413579595458174,-21.294534475816985
2024-08-01,RecursiveTabular,2024-11-01,16.413579595458174,-23.23736572265625
2024-08-01,DirectTabular,2024-11-01,16.413579595458174,15.138273239135742
2024-08-01,ETS,2024-11-01,16.413579595458174,-0.8024770387636145
2024-08-01,Theta,2024-11-01,16.413579595458174,-4.751042366027832
2024-08-01,Chronos2,2024-11-01,16.413579595458174,0.6968885064125061
2024-08-01,Toto2,2024-11-01,16.413579595458174,7.514285087585449
2024-08-01,WeightedEnsemble,2024-11-01,16.413579595458174,0.4012389631327731
2024-08-01,sifir,2024-11-01,16.413579595458174,0.0
2024-08-01,son12_ortalama,2024-11-01,16.413579595458174,-3.659656632458486
2024-09-01,SeasonalNaive,2024-12-01,4.669708411962132,-9.208524556168657
2024-09-01,RecursiveTabular,2024-12-01,4.669708411962132,-17.066164016723633
2024-09-01,DirectTabular,2024-12-01,4.669708411962132,4.024588584899902
2024-09-01,ETS,2024-12-01,4.669708411962132,20.68381734473107
2024-09-01,Theta,2024-12-01,4.669708411962132,16.586950302124023
2024-09-01,Chronos2,2024-12-01,4.669708411962132,9.632132530212402
2024-09-01,Toto2,2024-12-01,4.669708411962132,11.446712493896484
2024-09-01,WeightedEnsemble,2024-12-01,4.669708411962132,4.024588584899902
2024-09-01,sifir,2024-12-01,4.669708411962132,0.0
2024-09-01,son12_ortalama,2024-12-01,4.669708411962132,0.12760455441813492
2024-10-01,SeasonalNaive,2025-01-01,-5.136694267373928,3.944788622088225
2024-10-01,RecursiveTabular,2025-01-01,-5.136694267373928,5.346339225769043
2024-10-01,DirectTabular,2025-01-01,-5.136694267373928,-0.7703970074653625
2024-10-01,ETS,2025-01-01,-5.136694267373928,17.08270158784086
