ay,gercek,model_tahmin,baseline_gecen_yil_ayni_ay,onceki_bilinen_gercek,en_iyi_model
2025-12,5.458047143569871,3.3247439861297607,4.997566964120138,5.810620735722124,RecursiveTabular
2026-01,9.53533699123741,8.347122498920987,9.86003861003861,5.458047143569871,WeightedEnsemble
2026-02,7.979892799816556,6.704416853189469,6.849383722918668,9.53533699123741,WeightedEnsemble
2026-03,7.477165433211866,7.0211956641253295,6.044920939147101,7.979892799816556,WeightedEnsemble
2026-04,7.551320745304432,7.5982923005756575,7.545550338949315,7.477165433211866,WeightedEnsemble
2026-05,7.693650016823173,7.362721443176269,7.585705391022403,7.551320745304432,Toto2
