kol,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SELECT,2023-04-01,SeasonalNaive,2023-07-01,-2.7520384522287724,20.249653394811894
T0,SELECT,2023-04-01,RecursiveTabular,2023-07-01,-2.7520384522287724,21.60780143737793
T0,SELECT,2023-04-01,DirectTabular,2023-07-01,-2.7520384522287724,4.88226318359375
T0,SELECT,2023-04-01,ETS,2023-07-01,-2.7520384522287724,-2.382179717794955
T0,SELECT,2023-04-01,Theta,2023-07-01,-2.7520384522287724,-6.5594987869262695
T0,SELECT,2023-04-01,Chronos2,2023-07-01,-2.7520384522287724,10.37802791595459
T0,SELECT,2023-04-01,Toto2,2023-07-01,-2.7520384522287724,2.666370153427124
T0,SELECT,2023-04-01,WeightedEnsemble,2023-07-01,-2.7520384522287724,4.056291733342345
T0,SELECT,2023-04-01,sifir,2023-07-01,-2.7520384522287724,0.0
T0,SELECT,2023-04-01,son12_ortalama,2023-07-01,-2.7520384522287724,9.427449541467665
T0,SELECT,2023-05-01,SeasonalNaive,2023-08-01,-25.38770344207784,-9.64886759745382
T0,SELECT,2023-05-01,RecursiveTabular,2023-08-01,-25.38770344207784,-3.467519760131836
T0,SELECT,2023-05-01,DirectTabular,2023-08-01,-25.38770344207784,13.798675537109375
T0,SELECT,2023-05-01,ETS,2023-08-01,-25.38770344207784,14.131571003561682
T0,SELECT,2023-05-01,Theta,2023-08-01,-25.38770344207784,9.828056335449219
T0,SELECT,2023-05-01,Chronos2,2023-08-01,-25.38770344207784,18.318267822265625
T0,SELECT,2023-05-01,Toto2,2023-08-01,-25.38770344207784,16.88083839416504
T0,SELECT,2023-05-01,WeightedEnsemble,2023-08-01,-25.38770344207784,12.973416364027056
T0,SELECT,2023-05-01,sifir,2023-08-01,-25.38770344207784,0.0
T0,SELECT,2023-05-01,son12_ortalama,2023-08-01,-25.38770344207784,7.898724431090844
T0,SELECT,2023-06-01,SeasonalNaive,2023-09-01,-24.761168053465592,-36.240939917040905
T0,SELECT,2023-06-01,RecursiveTabular,2023-09-01,-24.761168053465592,16.709667205810547
T0,SELECT,2023-06-01,DirectTabular,2023-09-01,-24.761168053465592,49.75434875488281
T0,SELECT,2023-06-01,ETS,2023-09-01,-24.761168053465592,8.2877580417023
T0,SELECT,2023-06-01,Theta,2023-09-01,-24.761168053465592,4.23517370223999
T0,SELECT,2023-06-01,Chronos2,2023-09-01,-24.761168053465592,6.678037643432617
T0,SELECT,2023-06-01,Toto2,2023-09-01,-24.761168053465592,-4.607693672180176
T0,SELECT,2023-06-01,WeightedEnsemble,2023-09-01,-24.761168053465592,-4.770344766545662
T0,SELECT,2023-06-01,sifir,2023-09-01,-24.761168053465592,0.0
T0,SELECT,2023-06-01,son12_ortalama,2023-09-01,-24.761168053465592,4.230539102240708
T0,SELECT,2023-07-01,SeasonalNaive,2023-10-01,-24.937052677846825,-21.96055258675911
T0,SELECT,2023-07-01,RecursiveTabular,2023-10-01,-24.937052677846825,31.87557601928711
T0,SELECT,2023-07-01,DirectTabular,2023-10-01,-24.937052677846825,4.300573348999023
T0,SELECT,2023-07-01,ETS,2023-10-01,-24.937052677846825,-2.7509344725793774
T0,SELECT,2023-07-01,Theta,2023-10-01,-24.937052677846825,-6.762137413024902
T0,SELECT,2023-07-01,Chronos2,2023-10-01,-24.937052677846825,0.25147759914398193
T0,SELECT,2023-07-01,Toto2,2023-10-01,-24.937052677846825,-6.923853397369385
T0,SELECT,2023-07-01,WeightedEnsemble,2023-10-01,-24.937052677846825,9.83781336654254
T0,SELECT,2023-07-01,sifir,2023-10-01,-24.937052677846825,0.0
T0,SELECT,2023-07-01,son12_ortalama,2023-10-01,-24.937052677846825,2.313731448320652
T0,SELECT,2023-08-01,SeasonalNaive,2023-11-01,-21.294534475816985,-3.783463639868754
T0,SELECT,2023-08-01,RecursiveTabular,2023-11-01,-21.294534475816985,13.096999168395996
T0,SELECT,2023-08-01,DirectTabular,2023-11-01,-21.294534475816985,2.15818452835083
T0,SELECT,2023-08-01,ETS,2023-11-01,-21.294534475816985,-25.385439765180884
T0,SELECT,2023-08-01,Theta,2023-11-01,-21.294534475816985,-29.393430709838867
T0,SELECT,2023-08-01,Chronos2,2023-11-01,-21.294534475816985,-3.698052406311035
T0,SELECT,2023-08-01,Toto2,2023-11-01,-21.294534475816985,-5.532744407653809
T0,SELECT,2023-08-01,WeightedEnsemble,2023-11-01,-21.294534475816985,1.2939447947916176
T0,SELECT,2023-08-01,sifir,2023-11-01,-21.294534475816985,0.0
T0,SELECT,2023-08-01,son12_ortalama,2023-11-01,-21.294534475816985,1.0021617946019843
T0,SELECT,2023-09-01,SeasonalNaive,2023-12-01,-9.208524556168657,28.77075430136385
T0,SELECT,2023-09-01,RecursiveTabular,2023-12-01,-9.208524556168657,32.28620910644531
T0,SELECT,2023-09-01,DirectTabular,2023-12-01,-9.208524556168657,2.1743600368499756
T0,SELECT,2023-09-01,ETS,2023-12-01,-9.208524556168657,-24.761230480636765
T0,SELECT,2023-09-01,Theta,2023-12-01,-9.208524556168657,-29.015316009521484
T0,SELECT,2023-09-01,Chronos2,2023-12-01,-9.208524556168657,-0.28862619400024414
T0,SELECT,2023-09-01,Toto2,2023-12-01,-9.208524556168657,10.550454139709473
T0,SELECT,2023-09-01,WeightedEnsemble,2023-12-01,-9.208524556168657,30.268077644268917
T0,SELECT,2023-09-01,sifir,2023-12-01,-9.208524556168657,0.0
T0,SELECT,2023-09-01,son12_ortalama,2023-12-01,-9.208524556168657,1.9588094498999278
T0,SELECT,2023-10-01,SeasonalNaive,2024-01-01,3.944788622088225,31.41910825559692
T0,SELECT,2023-10-01,RecursiveTabular,2024-01-01,3.944788622088225,28.384937286376953
T0,SELECT,2023-10-01,DirectTabular,2024-01-01,3.944788622088225,2.1451058387756348
T0,SELECT,2023-10-01,ETS,2024-01-01,3.944788622088225,-24.937035095627103
T0,SELECT,2023-10-01,Theta,2024-01-01,3.944788622088225,-29.199981689453125
T0,SELECT,2023-10-01,Chronos2,2024-01-01,3.944788622088225,-2.7527832984924316
T0,SELECT,2023-10-01,Toto2,2024-01-01,3.944788622088225,2.0642690658569336
T0,SELECT,2023-10-01,WeightedEnsemble,2024-01-01,3.944788622088225,18.37251306015693
T0,SELECT,2023-10-01,sifir,2024-01-01,3.944788622088225,0.0
T0,SELECT,2023-10-01,son12_ortalama,2024-01-01,3.944788622088225,1.7107677756426176
