blok,kol,model,n,paired_win,paired_tie,T0_MAE,candidate_MAE,T0_eksi_candidate_MAE,en_buyuk_2_kazanc_cikarilinca_net_fark
SELECT,T0,Chronos2,12,6,0,19.233439143610116,16.65726755545747,2.576171588152647,-18.018488988280296
SELECT,T0,DirectTabular,12,0,12,19.233439143610116,19.233439143610116,0.0,0.0
SELECT,T0,ETS,12,5,0,19.233439143610116,21.040720739354814,-1.8072815957446942,-82.51578357692077
SELECT,T0,RecursiveTabular,12,3,0,19.233439143610116,26.388046251725104,-7.154607108114992,-136.16616214369338
SELECT,T0,SeasonalNaive,12,5,0,19.233439143610116,15.942314121652586,3.2911250219575297,-49.80337061704086
SELECT,T0,Theta,12,5,0,19.233439143610116,21.73231613777568,-2.4988769941655615,-90.85952175277549
SELECT,T0,Toto2,12,7,0,19.233439143610116,13.915796496253279,5.317642647356839,-1.7747574051493356
SELECT,T0,WeightedEnsemble,12,5,0,19.233439143610116,21.566874301304296,-2.333435157694179,-87.09803996802356
SELECT,T0,sifir,12,7,0,19.233439143610116,13.73023180761335,5.503207335996767,2.485463739969014
SELECT,T0,son12_ortalama,12,6,0,19.233439143610116,16.569554815703537,2.6638843279065827,-19.45714882378164
SELECT,T1,Chronos2,12,9,0,19.233439143610116,11.57884924529254,7.654589898317578,25.966973148936294
SELECT,T1,DirectTabular,12,5,6,19.233439143610116,15.324879941576697,3.9085592020334197,-3.56709529306722
SELECT,T1,ETS,12,5,0,19.233439143610116,21.040720739354814,-1.8072815957446942,-82.51578357692077
SELECT,T1,RecursiveTabular,12,4,0,19.233439143610116,19.68598855211525,-0.45254940850513253,-80.22244490240615
SELECT,T1,SeasonalNaive,12,5,0,19.233439143610116,15.942314121652586,3.2911250219575297,-49.80337061704086
SELECT,T1,Theta,12,5,0,19.233439143610116,21.73231613777568,-2.4988769941655615,-90.85952175277549
SELECT,T1,Toto2,12,7,0,19.233439143610116,13.915796496253279,5.317642647356839,-1.7747574051493356
SELECT,T1,WeightedEnsemble,12,7,0,19.233439143610116,17.325185478029983,1.9082536655801368,-48.61685776333665
SELECT,T1,sifir,12,7,0,19.233439143610116,13.73023180761335,5.503207335996767,2.485463739969014
SELECT,T1,son12_ortalama,12,6,0,19.233439143610116,16.569554815703537,2.6638843279065827,-19.45714882378164
SELECT,T2,Chronos2,12,8,0,19.233439143610116,13.68731401726516,5.54612512634496,-5.568026155674454
SELECT,T2,DirectTabular,12,5,6,19.233439143610116,15.324879941576697,3.9085592020334197,-3.56709529306722
SELECT,T2,ETS,12,5,0,19.233439143610116,21.040720739354814,-1.8072815957446942,-82.51578357692077
SELECT,T2,RecursiveTabular,12,4,0,19.233439143610116,19.68598855211525,-0.45254940850513253,-80.22244490240615
SELECT,T2,SeasonalNaive,12,5,0,19.233439143610116,15.942314121652586,3.2911250219575297,-49.80337061704086
SELECT,T2,Theta,12,5,0,19.233439143610116,21.73231613777568,-2.4988769941655615,-90.85952175277549
SELECT,T2,Toto2,12,7,0,19.233439143610116,13.915796496253279,5.317642647356839,-1.7747574051493356
SELECT,T2,WeightedEnsemble,12,7,0,19.233439143610116,16.834177385860247,2.3992617577498714,-42.17067594906714
SELECT,T2,sifir,12,7,0,19.233439143610116,13.73023180761335,5.503207335996767,2.485463739969014
SELECT,T2,son12_ortalama,12,6,0,19.233439143610116,16.569554815703537,2.6638843279065827,-19.45714882378164
CONFIRM,T0,Chronos2,12,5,0,8.178314328591437,10.087147627964825,-1.9088332993733885,-52.43546373053459
CONFIRM,T0,DirectTabular,12,0,12,8.178314328591437,8.178314328591437,0.0,0.0
CONFIRM,T0,ETS,12,3,0,8.178314328591437,18.465403535579423,-10.287089206987984,-140.5069760958388
CONFIRM,T0,RecursiveTabular,12,4,0,8.178314328591437,22.73431798594231,-14.556003657350873,-186.97299106218355
CONFIRM,T0,SeasonalNaive,12,2,0,8.178314328591437,23.404322477211547,-15.226008148620108,-196.86338732989324
CONFIRM,T0,Theta,12,3,0,8.178314328591437,18.27403028268814,-10.095715954096702,-135.320307082015
CONFIRM,T0,Toto2,12,5,0,8.178314328591437,8.554328824783418,-0.3760144961919807,-36.05158739109421
CONFIRM,T0,WeightedEnsemble,12,6,1,8.178314328591437,10.115656387224515,-1.9373420586330774,-44.021487947618425
CONFIRM,T0,sifir,12,5,0,8.178314328591437,10.330936598330846,-2.152622269739408,-48.298816659350656
CONFIRM,T0,son12_ortalama,12,3,0,8.178314328591437,13.461027926365807,-5.282713597774369,-84.77753283895132
CONFIRM,T1,Chronos2,12,5,0,8.178314328591437,8.157648061846087,0.020666266745351436,-22.37712282867313
CONFIRM,T1,DirectTabular,12,4,0,8.178314328591437,10.237006390711734,-2.058692062120297,-41.70137681296084
CONFIRM,T1,ETS,12,3,0,8.178314328591437,18.465403535579423,-10.287089206987984,-140.5069760958388
CONFIRM,T1,RecursiveTabular,12,1,0,8.178314328591437,23.929153656132158,-15.750839327540719,-195.12917575085086
CONFIRM,T1,SeasonalNaive,12,2,0,8.178314328591437,23.404322477211547,-15.226008148620108,-196.86338732989324
CONFIRM,T1,Theta,12,3,0,8.178314328591437,18.27403028268814,-10.095715954096702,-135.320307082015
CONFIRM,T1,Toto2,12,5,0,8.178314328591437,8.554328824783418,-0.3760144961919807,-36.05158739109421
CONFIRM,T1,WeightedEnsemble,12,4,0,8.178314328591437,8.081962299883898,0.09635202870754116,-22.816290310576974
CONFIRM,T1,sifir,12,5,0,8.178314328591437,10.330936598330846,-2.152622269739408,-48.298816659350656
CONFIRM,T1,son12_ortalama,12,3,0,8.178314328591437,13.461027926365807,-5.282713597774369,-84.77753283895132
CONFIRM,T2,Chronos2,12,6,0,8.178314328591437,6.96515312261475,1.213161205976687,-13.56837052479316
CONFIRM,T2,DirectTabular,12,4,0,8.178314328591437,10.237006390711734,-2.058692062120297,-41.70137681296084
CONFIRM,T2,ETS,12,3,0,8.178314328591437,18.465403535579423,-10.287089206987984,-140.5069760958388
CONFIRM,T2,RecursiveTabular,12,1,0,8.178314328591437,23.929153656132158,-15.750839327540719,-195.12917575085086
CONFIRM,T2,SeasonalNaive,12,2,0,8.178314328591437,23.404322477211547,-15.226008148620108,-196.86338732989324
CONFIRM,T2,Theta,12,3,0,8.178314328591437,18.27403028268814,-10.095715954096702,-135.320307082015
CONFIRM,T2,Toto2,12,5,0,8.178314328591437,8.554328824783418,-0.3760144961919807,-36.05158739109421
CONFIRM,T2,WeightedEnsemble,12,6,0,8.178314328591437,7.214633707295231,0.9636806212962057,-17.28020544491374
CONFIRM,T2,sifir,12,5,0,8.178314328591437,10.330936598330846,-2.152622269739408,-48.298816659350656
CONFIRM,T2,son12_ortalama,12,3,0,8.178314328591437,13.461027926365807,-5.282713597774369,-84.77753283895132
ALL,T0,Chronos2,24,11,0,13.705876736100777,13.37220759171115,0.3336691443896294,-50.65373081415946
ALL,T0,DirectTabular,24,0,24,13.705876736100777,13.705876736100777,0.0,0.0
ALL,T0,ETS,24,8,0,13.705876736100777,19.753062137467115,-6.047185401366339,-205.9608540607766
ALL,T0,RecursiveTabular,24,7,0,13.705876736100777,24.56118211883371,-10.855305382732931,-310.83820603190384
ALL,T0,SeasonalNaive,24,7,0,13.705876736100777,19.673318299432065,-5.967441563331289,-232.51546840048215
ALL,T0,Theta,24,8,0,13.705876736100777,20.00317321023191,-6.297296474131133,-212.0081132019359
ALL,T0,Toto2,24,12,0,13.705876736100777,11.23506266051835,2.4708140755824286,-19.91621334177577
ALL,T0,WeightedEnsemble,24,11,1,13.705876736100777,15.841265344264407,-2.1353886081636286,-124.31465739374495
ALL,T0,sifir,24,12,0,13.705876736100777,12.030584202972099,1.675292533128679,-23.346003496903887
ALL,T0,son12_ortalama,24,9,0,13.705876736100777,15.015291371034671,-1.309414634933892,-93.4026222356027
ALL,T1,Chronos2,24,14,0,13.705876736100777,9.868248653569315,3.837628082531465,26.21496834988051
ALL,T1,DirectTabular,24,9,6,13.705876736100777,12.780943166144219,0.9249335699565616,-28.271400038510784
ALL,T1,ETS,24,8,0,13.705876736100777,19.753062137467115,-6.047185401366339,-205.9608540607766
ALL,T1,RecursiveTabular,24,5,0,13.705876736100777,21.807571104123706,-8.101694368022924,-269.23251683289476
ALL,T1,SeasonalNaive,24,7,0,13.705876736100777,19.673318299432065,-5.967441563331289,-232.51546840048215
ALL,T1,Theta,24,8,0,13.705876736100777,20.00317321023191,-6.297296474131133,-212.0081132019359
ALL,T1,Toto2,24,12,0,13.705876736100777,11.23506266051835,2.4708140755824286,-19.91621334177577
ALL,T1,WeightedEnsemble,24,11,0,13.705876736100777,12.703573888956939,1.0023028471438387,-47.46063341884616
ALL,T1,sifir,24,12,0,13.705876736100777,12.030584202972099,1.675292533128679,-23.346003496903887
ALL,T1,son12_ortalama,24,9,0,13.705876736100777,15.015291371034671,-1.309414634933892,-93.4026222356027
ALL,T2,Chronos2,24,14,0,13.705876736100777,10.326233569939957,3.3796431661608235,8.989908316045788
ALL,T2,DirectTabular,24,9,6,13.705876736100777,12.780943166144219,0.9249335699565616,-28.271400038510784
ALL,T2,ETS,24,8,0,13.705876736100777,19.753062137467115,-6.047185401366339,-205.9608540607766
ALL,T2,RecursiveTabular,24,5,0,13.705876736100777,21.807571104123706,-8.101694368022924,-269.23251683289476
ALL,T2,SeasonalNaive,24,7,0,13.705876736100777,19.673318299432065,-5.967441563331289,-232.51546840048215
