model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
DirectTabular,-12.541245949112053,-14.772025383758267,0.0362699031829834,0.03206992149353027,0.33483195304870605,3
Chronos2,-12.832911433619932,-14.437276142088294,1.0457258224487305,0.05153059959411621,2.0580708980560303,6
ETS,-12.880459868905803,-14.548430480195448,0.03742218017578125,0.03574562072753906,0.008019685745239258,4
Toto2,-13.895354188325678,-14.265616930770596,0.3986170291900635,0.012969493865966797,0.7085905075073242,7
Theta,-15.65319377596247,-8.084465399228216,0.016027212142944336,0.01546025276184082,0.0077075958251953125,5
WeightedEnsemble,-21.106111797681397,-4.231149731722663,0.031282901763916016,0.029754638671875,0.2029999999795109,8
SeasonalNaive,-21.853014552298916,-4.504469119250174,0.014255523681640625,0.01429438591003418,0.0062596797943115234,1
RecursiveTabular,-25.315719094892994,-19.269947795039574,0.03355097770690918,0.023555517196655273,0.3319082260131836,2
